"Event Time","Event ID","Site Code","Exit Door ID","Event Count","Video URL","Status"
"2020-08-11T19:44:23Z","iUQekyK","Site 10","1","1078","","Organized Crime"
"2021-08-17T22:55:08Z","RZC9FCI","Site 10","1","1127","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Not a loss Event"
"2023-05-01T20:42:57Z","s6oFp6J","Site 10","1","4917","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","External Theft"
"2022-03-25T05:08:19Z","WfFMpcP","Site 10","1","3476","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Organized Crime"
"2022-08-22T19:06:47Z","KJn2PKH","Site 10","1","5090","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Not a loss Event"
"2022-10-10T16:13:52Z","s921Z4X","Site 10","1","2837","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Others"
"2023-03-05T11:45:10Z","aOisJIe","Site 10","1","3998","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2021-12-27T03:48:43Z","FIzqXgw","Site 10","1","8536","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Organized Crime"
"2020-11-17T19:30:50Z","I1bvbKr","Site 10","1","6681","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Omni Sale"
"2021-08-20T17:53:53Z","mKJzEkQ","Site 10","1","3286","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Not a loss Event"
"2022-03-15T07:44:30Z","PSZUxXP","Site 10","1","8504","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2021-11-11T01:06:16Z","yuS7skw","Site 10","1","428","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Employee"
"2022-04-29T09:39:43Z","e3ekCZO","Site 10","1","1692","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","External Theft"
"2022-07-27T22:36:10Z","aqjRgKa","Site 10","1","6465","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Not a loss Event"
"2020-06-20T10:30:02Z","dTNc3zK","Site 10","1","8311","","External Theft"
"2022-08-20T09:13:50Z","dgevSsK","Site 10","1","7756","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Transfer"
"2021-07-03T10:43:42Z","0uKQRUU","Site 10","1","2098","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Others"
"2021-10-17T20:43:32Z","wL1PX9t","Site 10","1","4170","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","External Theft"
"2021-02-05T18:19:37Z","5lpNVE5","Site 10","1","8079","","External Theft"
"2023-02-25T00:21:55Z","1tltzkc","Site 10","1","3936","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Organized Crime"
"2021-01-25T05:06:42Z","1lUcQOW","Site 10","1","3127","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Transfer"
"2022-05-16T06:34:25Z","W3i5kQM","Site 10","1","7262","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Employee"
"2021-01-05T10:57:22Z","9rnCNgL","Site 10","1","5236","","Transfer"
"2021-06-07T20:51:54Z","U1p1zo6","Site 10","1","828","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Omni Sale"
"2022-12-26T21:49:04Z","M0HzpD6","Site 10","1","4648","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Employee"
"2020-10-20T13:49:31Z","iaY9il1","Site 10","1","967","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","External Theft"
"2021-11-09T19:26:55Z","FBz2e4F","Site 10","1","276","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Employee"
"2021-02-16T18:02:29Z","8VuZGNO","Site 10","1","8753","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Not a loss Event"
"2021-11-17T19:24:06Z","w104KwJ","Site 10","1","789","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Employee"
"2023-03-09T21:38:30Z","X8KGBF3","Site 10","1","943","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Not a loss Event"
"2021-07-08T23:39:48Z","QOT9IYB","Site 10","1","928","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","External Theft"
"2020-12-19T22:38:10Z","rs4FEt4","Site 10","3","3268","","Mixed"
"2023-03-19T20:03:48Z","Ob5JaqP","Site 10","1","4624","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Mixed"
"2021-05-31T07:10:07Z","FwGPZzq","Site 10","1","6044","","External Theft"
"2023-03-08T09:57:35Z","VNcLnIP","Site 10","1","7181","","Mixed"
"2021-08-16T17:33:37Z","nbqYrHC","Site 10","1","8990","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","External Theft"
"2022-09-18T12:12:07Z","DtwmKZq","Site 10","1","6090","","Employee"
"2021-03-22T18:55:09Z","0Bdb11L","Site 10","1","1268","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Organized Crime"
"2022-06-03T05:56:29Z","tpueVoQ","Site 10","1","2886","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Omni Sale"
"2021-08-09T08:58:57Z","4CacDqF","Site 10","1","4394","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Others"
"2021-09-25T18:17:15Z","aWlxq6c","Site 10","1","1004","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Omni Sale"
"2021-01-24T19:02:19Z","aTEit99","Site 10","1","5255","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Organized Crime"
"2022-01-09T10:36:10Z","r48BTwM","Site 10","1","273","","Mixed"
"2020-10-31T03:53:27Z","YDUjXbq","Site 10","1","5429","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Others"
"2021-08-22T22:44:44Z","Nb97JMn","Site 10","1","6718","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Not a loss Event"
"2022-10-18T03:29:32Z","5ADaH3j","Site 10","1","924","","Others"
"2022-05-06T17:02:05Z","QcCyrBp","Site 10","1","3298","","Mixed"
"2021-07-11T08:06:59Z","DEJ7oFO","Site 10","1","6466","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","External Theft"
"2020-09-07T17:19:42Z","r2vXiQi","Site 10","1","6826","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Transfer"
"2022-07-18T14:05:37Z","WqPH3dc","Site 10","1","3641","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Others"
"2020-07-26T21:00:58Z","iUB3Jqk","Site 10","1","5334","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Mixed"
"2020-11-13T21:10:09Z","x9jffs2","Site 10","1","3661","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","External Theft"
"2020-06-22T12:09:54Z","ffGx2dr","Site 10","1","7942","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Organized Crime"
"2022-11-10T08:17:33Z","3yYc6WJ","Site 10","1","7410","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Not a loss Event"
"2020-08-04T09:15:20Z","jwcVVdi","Site 10","1","5049","","Mixed"
"2020-08-08T07:53:44Z","euko9OV","Site 10","1","8233","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Not a loss Event"
"2021-11-29T12:35:18Z","11zzhS9","Site 10","1","5755","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Not a loss Event"
"2020-06-14T19:10:57Z","9HkJLZR","Site 10","1","3461","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Omni Sale"
"2020-12-26T20:45:15Z","4edJdEO","Site 10","1","653","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Mixed"
"2021-06-10T15:49:14Z","JozaWm1","Site 10","1","5667","","Not a loss Event"
"2022-04-18T18:45:02Z","lsadAmP","Site 10","1","5372","","Employee"
"2020-09-04T16:18:43Z","oq4A9vV","Site 10","1","2583","","Others"
"2021-10-08T11:52:47Z","K3P0Qte","Site 10","1","7643","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Others"
"2023-06-02T19:48:12Z","LhpzvJY","Site 10","3","7584","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Transfer"
"2021-09-11T14:45:23Z","T28ZZXd","Site 10","1","2851","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Not a loss Event"
"2021-04-09T22:49:47Z","NVEhtuF","Site 10","1","4393","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Employee"
"2021-04-21T00:01:35Z","bUzax8u","Site 10","1","9181","","Organized Crime"
"2021-09-19T23:59:58Z","qs3kDIF","Site 10","1","922","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Transfer"
"2022-02-28T04:07:58Z","12JpC6y","Site 10","1","6421","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Organized Crime"
"2023-06-05T18:41:02Z","NuhCrZz","Site 10","1","6989","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Organized Crime"
"2020-11-23T20:59:15Z","QqgMefI","Site 10","1","9975","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","External Theft"
"2020-10-04T11:01:23Z","t4ew1lg","Site 10","1","7031","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Organized Crime"
"2022-10-05T19:46:53Z","F8oR0sk","Site 10","1","3069","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Mixed"
"2023-02-18T00:40:49Z","EGVgzSS","Site 10","1","1179","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Employee"
