"Event Time","Exit Event ID","POS Transaction ID","EPC","Site Code","Read Point","Last Read Time","Product Code","Color","Size","Manuf","Article","Ref Number","Style","att1","att2"
"2021-01-19T23:18:19Z","Event ID 7","POS Transaction ID 3","EPC 5","Site 10","READ POINT 1","2023-03-23T18:41:24Z","Product 2","Yellow","XXXL","Lee Cooper","Article3","Ref7","Style2","check3","att4"
"2022-09-03T21:10:53Z","Event ID 8","POS Transaction ID 5","EPC 3","Site 15","READ POINT 2","2023-05-25T13:08:09Z","Product 5","Black","XL","Lee Cooper","Article1","Ref4","Style3","check3","atts"
"2023-02-16T08:45:08Z","Event ID 1","POS Transaction ID 5","EPC 2","Site 14","READ POINT 3","2023-01-07T03:15:18Z","Product 4","Blue","S","Adidas","Artical4","Ref1","Style1","check2","att3"
"2023-03-10T06:58:21Z","Event ID 1","POS Transaction ID 3","EPC 4","Site 14","READ POINT 3","2022-10-06T23:50:59Z","Product 4","Pink","XS","Bata","Article1","Ref3","Style8","check3","att2"
"2020-07-24T21:21:13Z","Event ID 9","POS Transaction ID 2","EPC 5","Site 14","READ POINT 1","2022-12-21T01:21:10Z","Product 4","Red","XXS","Madame","Article1","Ref2","Style5","check3","att3"
"2021-09-27T10:12:40Z","Event ID 1","POS Transaction ID 4","EPC 5","Site 11","READ POINT 5","2023-01-01T16:06:29Z","Product 1","Yellow","XXXL","Lee Cooper","Article1","Ref7","Style6","check2","att2"
"2020-07-30T01:15:39Z","Event ID 7","POS Transaction ID 2","EPC 1","Site 11","READ POINT 4","2022-11-08T10:48:13Z","Product 5","Black","XXL","Puma","Article6","Ref5","Style4","check2","att2"
"2020-11-26T16:57:21Z","Event ID 5","POS Transaction ID 3","EPC 5","Site 14","READ POINT 3","2023-06-16T00:21:27Z","Product 2","Blue","S","Madame","Article3","Ref6","Style8","check1","att4"
"2023-01-02T01:45:52Z","Event ID 7","POS Transaction ID 3","EPC 5","Site 13","READ POINT 1","2022-06-07T02:16:15Z","Product 2","Pink","XXXL","Zara","Article1","Ref2","Style8","check1","att3"
"2021-01-30T22:42:34Z","Event ID 7","POS Transaction ID 1","EPC 2","Site 11","READ POINT 4","2022-06-19T03:30:59Z","Product 3","Black","XL","Puma","Article6","Ref5","Style7","check2","att3"
"2021-05-12T11:44:51Z","Event ID 6","POS Transaction ID 4","EPC 2","Site 14","READ POINT 1","2022-08-26T07:21:38Z","Product 4","White","XXS","Zara","Article6","Ref6","Style4","check1","atts"
