"Event Time","Event ID","EPC","Site Code","Exit Door ID","Last Prior Read","Last Read Time","Status","Video URL","Product Code","Color","Size","Manuf","Article","Style","Ref Number"
"2021-08-03T08:15:43Z","Event ID 9","EPC 5","Site 13","Exit Door ID 1","Last Prior Read 7","2023-04-22T15:43:35Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 2","Orange","XL","Nike","Article8","Style6","Ref2"
"2022-10-23T02:22:56Z","Event ID 8","EPC 4","Site 15","Exit Door ID 1","Last Prior Read 7","2023-02-01T18:46:14Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 1","Orange","XXL","Puma","Article2","Style4","Ref4"
"2021-11-01T00:05:52Z","Event ID 4","EPC 4","Site 14","Exit Door ID 5","Last Prior Read 7","2022-08-29T11:04:01Z","Employee","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 3","Pink","L","Lee Cooper","Article3","Style6","Ref2"
"2023-05-03T23:37:40Z","Event ID 2","EPC 4","Site 12","Exit Door ID 4","Last Prior Read 7","2022-09-14T20:43:06Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 5","Pink","XL","Madame","Article2","Style6","Ref3"
"2022-05-17T02:14:26Z","Event ID 4","EPC 4","Site 14","Exit Door ID 2","Last Prior Read 7","2023-05-18T08:56:26Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 2","Blue","XS","Zara","Artical4","Style6","Ref6"
"2022-08-04T23:33:50Z","Event ID 8","EPC 2","Site 14","Exit Door ID 3","Last Prior Read 3","2022-10-07T15:16:43Z","Employee","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 3","Blue","XXXL","Puma","Article7","Style1","Ref7"
"2022-09-17T17:04:11Z","Event ID 3","EPC 5","Site 15","Exit Door ID 4","Last Prior Read 1","2023-04-25T14:00:04Z","Organized Crime","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 4","Green","XS","Zara","Article5","Style7","Ref7"
"2022-09-10T04:11:54Z","Event ID 3","EPC 3","Site 10","Exit Door ID 5","Last Prior Read 6","2022-08-17T20:13:35Z","Organized Crime","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 2","Black","L","Madame","Article6","Style6","Ref7"
"2021-10-12T08:56:25Z","Event ID 4","EPC 2","Site 12","Exit Door ID 5","Last Prior Read 4","2022-07-24T02:18:58Z","External Theft","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 2","White","XXXL","Bata","Article3","Style4","Ref4"
"2020-11-12T15:17:57Z","Event ID 7","EPC 4","Site 11","Exit Door ID 5","Last Prior Read 7","2022-06-29T08:52:55Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 1","Black","XL","Zara","Article5","Style2","Ref8"
"2021-04-21T05:08:56Z","Event ID 7","EPC 3","Site 14","Exit Door ID 5","Last Prior Read 3","2023-03-15T17:35:21Z","Employee","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 4","Green","M","Lee Cooper","Article2","Style2","Ref2"
"2022-04-24T03:31:06Z","Event ID 5","EPC 2","Site 15","Exit Door ID 4","Last Prior Read 6","2022-12-07T19:12:09Z","","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 3","Pink","M","Zara","Article2","Style8","Ref3"
